gid,teacher,p,r_t,r_s,n,eta,M,seed,ckpt,rho2,L_late,L_V_opt,ratio,cm0,cm_mid,cm_end,mean_end,t_plateau,t_sat,gap_sat,d_mean_plat,d_min_plat,t50,s_band,tau_V_sq,diverged
R5,relu,100,8,30,15000,1.5,30,103,relu_p100_rt8_rs30_n15000_eta1.5_seed103.npz,0.9999999999269027,1.3997572861703214,0.05337538183308891,26.22477325871929,0.0012805601394052899,0.2372301131348125,0.7695988827828635,0.9250435428744574,549.0,7360.0,27.390045255096766,0.333155059224962,0.7401405916740401,5720.0,9.782608695652174e-05,0.2647683036085624,False
R5,relu,100,8,30,15000,1.5,30,107,relu_p100_rt8_rs30_n15000_eta1.5_seed107.npz,0.9999999999213104,1.4037700793352557,0.10578205639431963,13.270398848198573,0.007620233200299065,0.43853808897562535,0.8454748444843748,0.9398481954905795,551.0,7160.0,13.897228077541243,0.3855608288226636,0.800242396735114,4520.0,0.00011658031088082901,0.285282214855467,False
R5,relu,100,8,30,15000,1.5,30,109,relu_p100_rt8_rs30_n15000_eta1.5_seed109.npz,0.999999999921738,1.4066347060379245,0.10747705867572478,13.087767039494103,0.00024740973357044736,0.5452163838177398,0.8407216455082457,0.9327276085696274,545.0,7040.0,13.384024699662467,0.44982972620835293,0.8355739043812889,3620.0,0.00016423357664233578,0.2631235611389264,False
R5,relu,100,8,30,15000,1.5,30,113,relu_p100_rt8_rs30_n15000_eta1.5_seed113.npz,0.9999999999156169,1.4130180653414426,0.05622313571122583,25.13232404181454,0.0003529475086881592,0.3843179715263654,0.8512176315458753,0.9302209841290197,559.0,7240.0,25.81652998964335,0.4661291846671707,0.8499231998055641,4560.0,0.0002777777777777778,0.22624979352842503,False
R5,relu,100,8,30,15000,1.5,30,127,relu_p100_rt8_rs30_n15000_eta1.5_seed127.npz,0.9999999999288255,1.4175162141615019,0.10020341807055297,14.146385836493446,0.0010094785431759281,0.08152627580975146,0.7986239521728701,0.9256929775903809,561.0,7420.0,14.464297112163393,0.4048570488080201,0.7935497682720314,5580.0,0.00014331210191082804,0.2829404563064983,False
R5,relu,100,8,30,15000,1.5,30,131,relu_p100_rt8_rs30_n15000_eta1.5_seed131.npz,0.9999999999339253,1.4109897764546708,0.0890921086788298,15.837427100768043,0.0013089527546348313,0.6466757124589436,0.8603421960135246,0.9390887173622082,561.0,7280.0,16.130212444581325,0.38059965055988965,0.7231463897880351,2940.0,0.0001607142857142857,0.26554241249439053,False
R5,relu,100,8,30,15000,1.5,30,137,relu_p100_rt8_rs30_n15000_eta1.5_seed137.npz,0.9999999999339478,1.4033474937629744,0.06846661039742238,20.496815683105694,0.0008250625629910971,0.49260804453636853,0.8480673253438794,0.9241669626728553,549.0,7380.0,21.131812834693243,0.3476399041508593,0.7276450550749738,4000.0,0.00011597938144329897,0.28674923443417644,False
R5,relu,100,8,30,15000,1.5,30,139,relu_p100_rt8_rs30_n15000_eta1.5_seed139.npz,0.9999999999205849,1.4255114081071667,0.11489928113673327,12.406617291284611,8.313072996636579e-06,0.4006308028895223,0.8118539571995453,0.9296806885065132,557.0,7140.0,12.714976065531854,0.3737392329695036,0.7939862843995498,4240.0,0.00042452830188679245,0.26386570588557473,False
R5,relu,100,8,30,15000,1.5,30,149,relu_p100_rt8_rs30_n15000_eta1.5_seed149.npz,0.9999999999186789,1.4138401104187412,0.09047525201819512,15.626815940058497,1.192338454297207e-07,0.6067167973915758,0.8916224052421831,0.9464712190074532,547.0,7180.0,15.848541803090114,0.4343921929165093,0.8739838443797728,3860.0,0.0005357142857142857,0.2876158292683052,False
R5,relu,100,8,30,15000,1.5,30,151,relu_p100_rt8_rs30_n15000_eta1.5_seed151.npz,0.9999999999243995,1.4161747511551674,0.0613419582464402,23.086559210674547,0.0034911333862200702,0.052281168022850655,0.7554085247174189,0.9114078657296868,553.0,7800.0,23.188707566400257,0.39668441194143345,0.7421006614229038,7320.0,0.00012569832402234638,0.25258179322213875,False
