label,act,r_t,x,seed,change,secant,peak
ReLU rt16 e2.0,relu,16,0.32,37,0.0007408619431082874,1.8521548577707186e-07,3.1423458762793454e-05
ReLU rt16 e2.0,relu,16,0.32,41,0.213997766894362,5.34994417235905e-05,0.0004864996450402055
ReLU rt16 e2.0,relu,16,0.32,53,0.15987689252595447,3.996922313148862e-05,0.0003767386100396115
ReLU rt16 e2.0,relu,16,0.32,67,0.01899703596340016,4.74925899085004e-06,3.761552250394086e-05
ReLU rt16 e2.0,relu,16,0.32,71,0.004226011976132725,1.0565029940331813e-06,7.756180354266081e-05
ReLU rt16 e2.0,relu,16,0.32,83,-0.0015547316507476374,-3.8868291268690935e-07,1.7304886259816754e-05
ReLU rt16 e2.0,relu,16,0.32,97,-0.005933145744431415,-1.4832864361078537e-06,6.763052563754346e-05
ReLU rt16 e2.0,relu,16,0.32,101,0.029854323187434386,7.463580796858597e-06,3.82706211476327e-05
ReLU rt16 e2.0,relu,16,0.32,103,0.19748667277130358,4.93716681928259e-05,0.0002328980368701005
ReLU rt16 e2.0,relu,16,0.32,107,0.042543344145915096,1.0635836036478774e-05,8.034430569610007e-05
ReLU rt16 e2.0,relu,16,0.32,109,0.11356591580851907,2.8391478952129767e-05,0.00024109870188802055
ReLU rt16 e2.0,relu,16,0.32,113,0.02355994674883652,5.88998668720913e-06,3.331285697567582e-05
ReLU rt16 e2.0,relu,16,0.32,127,0.1655881116101831,4.1397027902545776e-05,0.00011119755767653238
ReLU rt16 e2.0,relu,16,0.32,131,0.11926748300492165,2.9816870751230414e-05,0.0001587128975913753
ReLU rt16 e2.0,relu,16,0.32,137,0.027817493287430103,6.954373321857526e-06,4.985772070585049e-05
ReLU rt16 e2.0,relu,16,0.32,139,0.018171518843397592,4.542879710849398e-06,7.106994393075906e-05
ReLU rt16 e2.0,relu,16,0.32,149,0.11250098921921198,2.8125247304802995e-05,0.00014415354989811877
ReLU rt16 e2.0,relu,16,0.32,151,-0.0018984674708421214,-4.7461686771053037e-07,3.5174087960913705e-05
ReLU rt16 e2.0,relu,16,0.32,157,0.05044325431847385,1.2610813579618463e-05,8.307780019672909e-05
ReLU rt16 e2.0,relu,16,0.32,163,0.11295589840015653,2.8238974600039133e-05,0.00026007741701696257
ReLU rt16 e2.0,relu,16,0.32,167,0.006973740471881928,1.743435117970482e-06,3.682487386169064e-05
ReLU rt16 e2.0,relu,16,0.32,173,0.05001502335126685,1.2503755837816711e-05,9.468529838763758e-05
ReLU rt16 e2.0,relu,16,0.32,179,0.2362325785355338,5.905814463388345e-05,0.0004652454612117927
ReLU rt16 e2.0,relu,16,0.32,181,0.018050693017729807,4.512673254432452e-06,4.086862128443009e-05
ReLU rt16 e2.0,relu,16,0.32,191,-0.0007545838032410618,-1.8864595081026546e-07,1.7181789219640734e-05
ReLU rt16 e2.0,relu,16,0.32,193,0.05548281597557958,1.3870703993894895e-05,7.751571798569539e-05
ReLU rt16 e2.0,relu,16,0.32,197,0.13537758629990443,3.384439657497611e-05,0.0003256522186893027
ReLU rt16 e2.0,relu,16,0.32,199,0.11854930158909302,2.9637325397273255e-05,0.00016255848765466804
ReLU rt16 e2.0,relu,16,0.32,211,-0.0027434934930494993,-6.858733732623749e-07,1.9901857805636928e-05
